name,owner,url,totalPullRequests,closed,merged,processado
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,493,179,190,False
jeecg-boot,jeecgboot,https://github.com/jeecgboot/jeecg-boot,185,152,17,False
jadx,skylot,https://github.com/skylot/jadx,437,61,375,False
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,114,30,69,False
halo,halo-dev,https://github.com/halo-dev/halo,1325,187,1128,False
druid,alibaba,https://github.com/alibaba/druid,1320,161,1007,False
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,2866,1538,1300,False
nacos,alibaba,https://github.com/alibaba/nacos,3264,925,2329,False
hutool,dromara,https://github.com/dromara/hutool,750,385,365,False
miaosha,qiurunze123,https://github.com/qiurunze123/miaosha,69,48,20,False
vhr,lenve,https://github.com/lenve/vhr,76,22,1,False
butterknife,JakeWharton,https://github.com/JakeWharton/butterknife,491,127,346,False
SpringAll,wuyouzhuguli,https://github.com/wuyouzhuguli/SpringAll,22,9,1,False
spring-boot-examples,ityouknow,https://github.com/ityouknow/spring-boot-examples,46,40,6,False
apollo,apolloconfig,https://github.com/apolloconfig/apollo,1613,276,1325,False
easyexcel,alibaba,https://github.com/alibaba/easyexcel,355,164,138,False
libgdx,libgdx,https://github.com/libgdx/libgdx,3489,916,2495,False
termux-app,termux,https://github.com/termux/termux-app,305,129,136,False
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,238,61,177,False
eladmin,elunez,https://github.com/elunez/eladmin,160,78,76,False
rocketmq,apache,https://github.com/apache/rocketmq,3237,1193,1792,False
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,130,54,56,False
PhotoView,Baseflow,https://github.com/Baseflow/PhotoView,153,85,54,False
mybatis-3,mybatis,https://github.com/mybatis/mybatis-3,1613,458,1091,False
Signal-Android,signalapp,https://github.com/signalapp/Signal-Android,2668,2424,238,False
NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,1948,487,1411,False
elasticsearch,elastic,https://github.com/elastic/elasticsearch,63233,8106,54645,False
